2023-07-28 23:49:55.936  INFO 12104 --- [main] tologySpringBootCourseProjectApplication : Starting NetologySpringBootCourseProjectApplication using Java 11.0.17 on DESKTOP-B0FQ2IR with PID 12104 (C:\Users\Lolipop\IdeaProjects\SpringBoot\Cource_SpringBoot_My\target\classes started by Lolipop in C:\Users\Lolipop\IdeaProjects\SpringBoot\Cource_SpringBoot_My)
2023-07-28 23:49:55.940  INFO 12104 --- [main] tologySpringBootCourseProjectApplication : No active profile set, falling back to 1 default profile: "default"
2023-07-28 23:52:58.829  INFO 12104 --- [http-nio-8080-exec-3] r.n.n.log.TransferLog                    : ---------------------
2023-07-28 23:52:58.829  INFO 12104 --- [http-nio-8080-exec-3] r.n.n.log.TransferLog                    : Операция в системе: 14
2023-07-28 23:52:58.830  INFO 12104 --- [http-nio-8080-exec-3] r.n.n.log.TransferLog                    : Операция по карте: 14
2023-07-28 23:52:58.830  INFO 12104 --- [http-nio-8080-exec-3] r.n.n.log.TransferLog                    : Номер карты списания: 4558445885582478
2023-07-28 23:52:58.830  INFO 12104 --- [http-nio-8080-exec-3] r.n.n.log.TransferLog                    : Номер карты зачисления: 455844588558247
2023-07-28 23:52:58.831  INFO 12104 --- [http-nio-8080-exec-3] r.n.n.log.TransferLog                    : Сумма списания: 5000000RUR
2023-07-28 23:52:58.831  INFO 12104 --- [http-nio-8080-exec-3] r.n.n.log.TransferLog                    : Комиссия за перевод: 50000RUR
2023-07-28 23:52:58.831  INFO 12104 --- [http-nio-8080-exec-3] r.n.n.log.TransferLog                    : Общая сумма списания: 5050000RUR
2023-07-28 23:52:58.831  INFO 12104 --- [http-nio-8080-exec-3] r.n.n.log.TransferLog                    : Остаток по карте: 14150000
2023-07-28 23:52:58.831  INFO 12104 --- [http-nio-8080-exec-3] r.n.n.log.TransferLog                    : Результат операции: The operation was successful.
2023-07-28 23:53:16.818  INFO 12104 --- [http-nio-8080-exec-4] r.n.n.log.TransferLog                    : ---------------------
2023-07-28 23:53:16.818  INFO 12104 --- [http-nio-8080-exec-4] r.n.n.log.TransferLog                    : Операция в системе: 15
2023-07-28 23:53:16.818  INFO 12104 --- [http-nio-8080-exec-4] r.n.n.log.TransferLog                    : Операция по карте: 1
2023-07-28 23:53:16.818  INFO 12104 --- [http-nio-8080-exec-4] r.n.n.log.TransferLog                    : Номер карты списания: 455844588558478
2023-07-28 23:53:16.819  INFO 12104 --- [http-nio-8080-exec-4] r.n.n.log.TransferLog                    : Номер карты зачисления: 455844588558247
2023-07-28 23:53:16.819  INFO 12104 --- [http-nio-8080-exec-4] r.n.n.log.TransferLog                    : Сумма списания: 5000000RUR
2023-07-28 23:53:16.819  INFO 12104 --- [http-nio-8080-exec-4] r.n.n.log.TransferLog                    : Комиссия за перевод: 50000RUR
2023-07-28 23:53:16.819  INFO 12104 --- [http-nio-8080-exec-4] r.n.n.log.TransferLog                    : Общая сумма списания: 5050000RUR
2023-07-28 23:53:16.819  INFO 12104 --- [http-nio-8080-exec-4] r.n.n.log.TransferLog                    : Остаток по карте: 94950000
2023-07-28 23:53:16.819  INFO 12104 --- [http-nio-8080-exec-4] r.n.n.log.TransferLog                    : Результат операции: The operation was successful.
